folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep Monitoring/Actigraphy,sawa136,Standard deviation of the daily mid-point for sleep period on weekdays from actigraphy,Sleep period  is the interval between sleep onset and sleep offset time.,time,,,StdMptSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa137,"Average whte light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on weekdays from actigraphy",,numeric,minutes,,AvgTalLw_ib_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa138,"Average blue light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on weekdays from actigraphy",,numeric,minutes,,AvgTalLb_ib_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa139,"Average green light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on weekdays from actigraphy",,numeric,minutes,,AvgTalLg_ib_w5_f2,,,
Sleep Monitoring/Actigraphy/Administrative,sawa14_days,Days since main study baseline visit to collection end date,,numeric,days,,,,,
Sleep Monitoring/Actigraphy,sawa140,"Average red light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on weekdays from actigraphy",,numeric,minutes,,AvgTalLr_ib_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa141,Number of weekends with sleep data recorded,,numeric,weekends,,TtlNumRd_ib_ws_f2,,,
Sleep Monitoring/Actigraphy,sawa142,Average daily total sleep duration in main sleep and naps combined on weekends from actigraphy,Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep. ,numeric,minutes,,AvgDurSp_ib_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa143,Standard deviation of sleep duration in 24 hours (including main rest intervals and naps) on weekends from actigraphy,Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep. ,numeric,minutes,,StdDurSp_ib_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa144,Average daily rest period in main sleep on weekends from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",numeric,minutes,,AvgPrdRs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa145,Standard deviation of the daily rest period in main sleep on weekends from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",numeric,minutes,,StdPrdRs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa146,Average daily sleep period on weekends from actigraphy,"This variable is similar to sawa31; however, sawa31 is derived from Actiware variable sawa18 before data optimization. ",numeric,minutes,,AvgPrdSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa147,Standard deviation of daily sleep period on weekends from actigraphy,,numeric,minutes,,StdPrdSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa148,Average daily total sleep duration in main sleep on weekends from actigraphy,"Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep. <br><br>This variable is similar to sawa35; however, sawa35 is calculated based on data generated by Actiware software before data cleaning and imputation. ",numeric,minutes,,AvgDurSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa149,Standard deviation of daily total sleep duration in main sleep on weekends from actigraphy,Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep. ,numeric,minutes,,StdDurSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy/Administrative,sawa15,Data collection end time,,time,,,,,,
Sleep Monitoring/Actigraphy,sawa150,Average daily sleep onset latency on weekends from actigraphy,,numeric,minutes,,AvgLatSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa151,Average daily duration of wake after sleep onset (WASO) on weekends from actigraphy,,numeric,minutes,,AvgDurWs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa152,Average daily duration of wake after sleep offset (snooze time) on weekends from actigraphy,,numeric,minutes,,AvgDurSz_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa153,Average daily duration of wake in bed on weekends from actigraphy,,numeric,minutes,,AvgDurWk_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa154,Average daily sleep efficiency on weekends from actigraphy,,numeric,percent,,AvgEffSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa155,Standard deviation of the daily sleep efficiency on weekends from actigraphy,,numeric,percent,,StdEffSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa156,Average daily sleep maintenance efficiency sleep in main sleep on weekends from actigraphy,"This variable is similar to variable sawa33; however, sawa33 is derived from Actiware variable sawa24 before data optimization.  ",numeric,percent,,AvgMefSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa157,Standard deviation of the daily sleep maintenance efficiency sleep in main sleep on weekends from actigraphy,,numeric,percent,,StdMefSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa158,Average daily total sleep fragmentation index in main sleep on weekends from actigraphy,"Sleep Fragmentation is an index of restlessness during the sleep period expressed as a percentage. [Kristen L et al. 2011 (PubMed ID:21411507)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3114508/) <br><br>There are three type of measures for sleep fragmentation: movement Index (MI), fragmentation index (FI), and total sleep fragmentation Index. The fragmentation index refers to the percentage of 60s periods of sleep out of the total number of periods of immobility. The movement index refers to the total of scored awake minutes divided by sleep period (i.e. total time in bed). The total sleep fragmentation index is the sum of FI and MI. (ActiGraph validation reference)[https://actigraphcorp.force.com/support/s/article/Sleep-Fragmentation-Index-Validation-Reference]",numeric,percent,,AvgIndFg_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa159,Average number of sleep bouts (continuous periods of sleep) between sleep onset and sleep offset in main sleep on weekends from actigraphy,"sleep bouts are continuous blocks, one or more epochs in duration, with each epoch of each block scored as ""sleep"", between the start time and the end time of the given interval.",numeric,,,AvgNumSb_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa16,Average daily duration of rest period in main sleep over all days from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.<br><br>This variable is similar to sawa50; however, sawa16 is generated by Actiware software before data optimization. ",numeric,minutes,,AvgPrdRs_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa160,Average number of wake bouts (continuous periods of wake) between sleep onset and sleep offset in main sleep on weekends from actigraphy,"Wake bouts is also referred to as ""nocturnal awakenings"". There are always comparable number of wake bouts to sleep bouts.",numeric,,,AvgNumWb_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa161,Total number of days with any naps in the entire actigraphy recording period on weekends from actigraphy,This is the number of weekend days that have at least one nap. This refers to the number of weekend days on which a participant reported taking naps. ,numeric,weekends,,TtlDayNp_ib_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa162,Total number of days with naps of any sleep recorded on weekends from actigraphy,,numeric,weekends,,TtlDayNp_ib_w2_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa163,Total number of days with naps of at least 15 minutes in length on weekends from actigraphy,,numeric,weekends,,TtlDayNp_ib_w2_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa164,Average number of naps in 24 hours (including main rest intervals and naps) on weekends from actigraphy,,numeric,naps,,AvgNumNp_ib_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa165,Average number of naps of any sleep recorded on weekends from actigraphy,,numeric,naps,,AvgNumNp_in_w2_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa166,Average number of naps of at least 15 minutes in length on weekends from actigraphy,,numeric,naps,,AvgNumNp_in_w2_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa167,Average sleep duration per nap on weekends from actigraphy,Sleep duration is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,PnpDurSp_in_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa168,Average sleep duration per nap of any sleep recorded on weekends from actigraphy,,numeric,minutes,,PnpDurSp_in_w2_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa169,Average sleep duration per nap of  at least 15 minutes in length on weekends from actigraphy,,numeric,minutes,,PnpDurSp_in_w2_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa17,Average exposure to white light in main sleep over all days from actigraphy,"This is the average white light intensity, in lux, between sleep onset and sleep offset times across all main rest intervals with sleep, as generated by Actiware before data optimization. ",numeric,lux,,AvgExpLw_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa170,Average daily sleep duration in naps on weekends over recorded days from actigraphy,,numeric,minutes per day,,PdyDurSp_in_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa171,Average daily sleep duration in naps of at least 15 minutes in length on weekends from actigraph,,numeric,minutes per day,,PdyDurSp_in_w2_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa172,Average daily start time of in-bed or rest interval in main sleep on weekends from actigraphy,This variable is similar to the generated variable sawa40; however sawa40 is calculated based on data generated by Actiware software before data optimization. ,time,,,AvgBptRs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa173,Standard deviation of daily start time of in-bed or rest period in main sleep on weekends from actigraphy,,time,,,StdBptRs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa174,Average daily sleep onset time on weekends from actigraphy,"This variable is similar to variable SAWA44; however, SAWA44 is calculated based on data generated by Actiware software before data optimization",time,,,AvgBptSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa44,Average daily sleep onset time on weekends from actigraphy,"This variable is similar to variable SAWA174; however, SAWA44 is calculated based on data generated by Actiware software before data optimization",time,,,AvgBptSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa175,Standard deviation of the daily sleep onset time on weekends from actigraphy,,time,,,StdBptSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa176,Average daily sleep offset time on weekends from actigraphy,,time,,,AvgEptSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa177,Standard deviation of daily sleep offset time on weekends from actigraphy,,time,,,StdEptSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa178,Average daily end time of in-bed or rest interval in main sleep on weekends from actigraphy,,time,,,AvgEptRs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa179,Standard deviation of the daily end time of in-bed or rest interval in main sleep on weekends from actigraphy,,time,,,StdEptRs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa18,Average duration of daily sleep period from actigraphy,"Sleep period is the interval between sleep onset and sleep offset time.<br><br>This variable is similar to sawa52; however, sawa18 is generated by Actiware software before data optimization.",numeric,minutes,,AvgPrdSp_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa180,Average daily mid-point time of in-bed or rest interval in main sleep on weekends from actigraphy,,time,,,AvgMptRs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa181,Standard deviation of the daily mid-point time of in-bed or rest interval in main sleep on weekends from actigraphy,,time,,,StdMptRs_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa182,Average daily mid-point for sleep period in main sleep on weekends from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,time,,,AvgMptSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa183,Standard deviation of the daily midpoint for sleep period in main sleep on weekends from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,time,,,StdMptSp_im_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa184,"Average whte light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on weekends from actigraphy",,numeric,minutes,,AvgTalLw_ib_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa185,"Average blue light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on weekends from actigraphy",,numeric,minutes,,AvgTalLb_ib_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa186,"Average green light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on weekends from actigraphy",,numeric,minutes,,AvgTalLg_ib_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa187,"Average red light time above 1,000 microwatts per square centimeter threshold over 24-hour periods on weekends from actigraphy",,numeric,minutes,,AvgTalLr_ib_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa188,Total number of the main rest intervals that directly precede the subject going to work or school from actigraphy,,numeric,workdays,,TtlNumRd_ib_wv_f2,,,
Sleep Monitoring/Actigraphy,sawa189,Average daily total sleep duration in main sleep and naps combined on workdays from actigraphy,Sleep duration is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,AvgDurSp_ib_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa19,Average daily sleep onset latency across all days from actigraphy,"This variable is similar to sawa56; however, sawa19 is generated by Actiware software before data optimization.",numeric,minutes,,AvgLatSp_im_w7_f2,,,
Sleep Monitoring/Actigraphy,sawa190,Standard deviation of sleep period in 24 hours on workdays from actigraphy,,numeric,minutes,,StdPrdSp_ib_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa191,Average daily duration of rest period in main sleep on workdays from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",numeric,minutes,,AvgPrdRs_im_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa192,Standard deviation of rest period in main sleep on workdays from actigraphy,"Rest period is the interval between the start and end of the rest interval, used in actigraphy.",numeric,minutes,,StdPrdRs_im_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa193,Average daily sleep period on workdays from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,numeric,minutes,,AvgPrdSp_im_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa194,Standard deviation of daily sleep period on workdays from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,numeric,minutes,,StdPrdSp_im_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa195,Average daily total sleep duration in main sleep on workdays from actigraphy,Sleep duration is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,AvgDurSp_im_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa196,Standard deviation of daily total sleep duration in main sleep on workdays from actigraphy,Sleep duration is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,StdDurSp_im_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa197,Average daily sleep onset latency on workdays from actigraphy,,numeric,minutes,,AvgLatSp_im_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa198,Average daily duration of wake after sleep onset (WASO) on workdays from actigraphy,,numeric,minutes,,AvgDurWs_im_ww_f2,,,
Sleep Monitoring/Actigraphy,sawa199,Average daily duration of wake after sleep offset (snooze time) on workdays from actigraphy,,numeric,minutes,,AvgDurSz_im_ww_f2,,,
Sleep Monitoring/Actigraphy/Administrative,sawa2,Contact Occasion,,choices,,visit,,,,
Sleep Monitoring/Actigraphy,sawa20,Average daily duration of wake after sleep offset (snooze time) across all days from actigraphy,"This variable is similar to sawa58; however, sawa20 is generated by Actiware software before data optimization.",numeric,minutes,,AvgDurSz_im_w7_f2,,,
