,folder,id,display_name,display_name.new,description,description.new,type,units,domain,labels,calculation,commonly_used,folder.new,nsrr_label
701,Medical History,mhea1a,HBP/Hyperten - Self while pregnant (MHEA1A),HBP/Hyperten - Self while pregnant (MHEA1A),,,choices,,noyes01,,NA,NA,NA,NA
702,Family History,mhea1b,HBP/Hypertension - Mother (MHEA1B),HBP/Hypertension - Mother (MHEA1B),,,choices,,noyes01,,NA,NA,NA,NA
703,Family History,mhea1c,HBP/Hypertension - Father (MHEA1C),HBP/Hypertension - Father (MHEA1C),,,choices,,noyes01,,NA,NA,NA,NA
704,Family History,mhea1d,HBP/Hypertension - Sibling (MHEA1D),HBP/Hypertension - Sibling (MHEA1D),,,choices,,noyes01,,NA,NA,NA,NA
705,Medical History,mhea2,High Blood Cholesterol - Self (MHEA2),High Blood Cholesterol - Self (MHEA2),,,choices,,noyes01,,NA,NA,NA,NA
706,Medical History,mhea20,Acid regurg (MHEA20),Acid regurg (MHEA20),,,choices,,noyes01,,NA,NA,NA,NA
707,Medical History,mhea20a,How often Acid regurg (MHEA20A),How often Acid regurg (MHEA20A),,,choices,,monthly_freq,,NA,NA,NA,NA
708,Medical History,mhea21,Migraine - Self (MHEA21),Migraine - Self (MHEA21),,,choices,,noyes01,,NA,NA,NA,NA
709,Family History,mhea21a,Migraine - Mother (MHEA21A),Migraine - Mother (MHEA21A),,,choices,,noyes01,,NA,NA,NA,NA
710,Family History,mhea21b,Migraine - Father (MHEA21B),Migraine - Father (MHEA21B),,,choices,,noyes01,,NA,NA,NA,NA
711,Family History,mhea21c,MIgraine - Brother(s) or Sister(s) (MHEA21C),MIgraine - Brother(s) or Sister(s) (MHEA21C),,,choices,,noyes01,,NA,NA,NA,NA
712,Medical History,mhea22,Clot in leg/lung req thinners - Self (MHEA22),Clot in leg/lung req thinners - Self (MHEA22),,,choices,,noyes01,,NA,NA,NA,NA
713,Medical History,mhea23,Pain swell of jts lim act (MHEA23),Pain swell of jts lim act (MHEA23),,,choices,,noyes01,,NA,NA,NA,NA
714,Family History,mhea23a,Pain swell of jts - Mother (MHEA23A),Pain swell of jts - Mother (MHEA23A),,,choices,,noyes01,,NA,NA,NA,NA
715,Family History,mhea23b,Pain swell of jts - Father (MHEA23B),Pain swell of jts - Father (MHEA23B),,,choices,,noyes01,,NA,NA,NA,NA
716,Family History,mhea23c,Pain swell of jts - Sibling (MHEA23C),Pain swell of jts - Sibling (MHEA23C),,,choices,,noyes01,,NA,NA,NA,NA
717,Sleep Questionnaires/Sleep Disorder,mhea24,Sleep Disorder - Self (MHEA24),Sleep Disorder - Self (MHEA24),,,choices,,noyesdk,,NA,NA,NA,NA
718,Sleep Questionnaires/Sleep Disorder,mhea25a,Insomnia - Self (MHEA25A),Insomnia - Self (MHEA25A),,,choices,,noyes01,,NA,NA,NA,NA
719,Sleep Questionnaires/Sleep Disorder,mhea25b,Restless Legs - Self (MHEA25B),Restless Legs - Self (MHEA25B),,,choices,,noyes01,,NA,NA,NA,NA
720,Sleep Questionnaires/Sleep Disorder,mhea25c,Narcolepsy - Self (MHEA25C),Narcolepsy - Self (MHEA25C),,,choices,,noyes01,,NA,NA,NA,NA
721,Sleep Questionnaires/Sleep Disorder,mhea25d,Apnea - Self (MHEA25D),Apnea - Self (MHEA25D),,,choices,,noyes01,,NA,NA,NA,NA
722,Sleep Questionnaires/Sleep Disorder,mhea25d1,Apnea - CPAP/BPAP/Other (MHEA25D1),Apnea - CPAP/BPAP/Other (MHEA25D1),,,choices,,noyes01,,NA,NA,NA,NA
723,Sleep Questionnaires/Sleep Disorder,mhea25e,Other Sleep Disorder - Self (MHEA25E),Other Sleep Disorder - Self (MHEA25E),,,choices,,noyes01,,NA,NA,NA,NA
724,Medical History,mhea26,Cancer/Malignant Tumor - Self (MHEA26),Cancer/Malignant Tumor - Self (MHEA26),,,choices,,noyes01,,NA,NA,NA,NA
725,Medical History,mhea26a1,Cancer/ Lung - Self (MHEA26A1),Cancer/ Lung - Self (MHEA26A1),,,choices,,noyes01,,NA,NA,NA,NA
726,Medical History,mhea26a10,Cancer/ Stomach - Self (MHEA26A10),Cancer/ Stomach - Self (MHEA26A10),,,choices,,noyes01,,NA,NA,NA,NA
727,Medical History,mhea26a11,Cancer/ Colon - Self (MHEA26A11),Cancer/ Colon - Self (MHEA26A11),,,choices,,noyes01,,NA,NA,NA,NA
728,Medical History,mhea26a12,Cancer/ Uterine - Self (MHEA26A12),Cancer/ Uterine - Self (MHEA26A12),,,choices,,noyes01,,NA,NA,NA,NA
729,Medical History,mhea26a13,Cancer/ Prostate - Self (MHEA26A13),Cancer/ Prostate - Self (MHEA26A13),,,choices,,noyes01,,NA,NA,NA,NA
730,Medical History,mhea26a14,Cancer/ Liver - Self (MHEA26A14),Cancer/ Liver - Self (MHEA26A14),,,choices,,noyes01,,NA,NA,NA,NA
731,Medical History,mhea26a15,Cancer/ Other - Self (MHEA26A15),Cancer/ Other - Self (MHEA26A15),,,choices,,noyes01,,NA,NA,NA,NA
732,Medical History,mhea26a2,Cancer/ Breast - Self (MHEA26A2),Cancer/ Breast - Self (MHEA26A2),,,choices,,noyes01,,NA,NA,NA,NA
733,Medical History,mhea26a3,Cancer/ Cervical - Self (MHEA26A3),Cancer/ Cervical - Self (MHEA26A3),,,choices,,noyes01,,NA,NA,NA,NA
734,Medical History,mhea26a4,Cancer/ Blood/lymph glands - Self (MHEA26A4),Cancer/ Blood/lymph glands - Self (MHEA26A4),,,choices,,noyes01,,NA,NA,NA,NA
735,Medical History,mhea26a5,Cancer/ Testes/scrotum - Self (MHEA26A5),Cancer/ Testes/scrotum - Self (MHEA26A5),,,choices,,noyes01,,NA,NA,NA,NA
736,Medical History,mhea26a6,Cancer/ Bone - Self (MHEA26A6),Cancer/ Bone - Self (MHEA26A6),,,choices,,noyes01,,NA,NA,NA,NA
737,Medical History,mhea26a7,Cancer/ Melanoma - Self (MHEA26A7),Cancer/ Melanoma - Self (MHEA26A7),,,choices,,noyes01,,NA,NA,NA,NA
738,Medical History,mhea26a8,Cancer/ Skin (not mel) - Self (MHEA26A8),Cancer/ Skin (not mel) - Self (MHEA26A8),,,choices,,noyes01,,NA,NA,NA,NA
739,Medical History,mhea26a9,Cancer/ Brain - Self (MHEA26A9),Cancer/ Brain - Self (MHEA26A9),,,choices,,noyes01,,NA,NA,NA,NA
740,Family History,mhea26b,Cancer/Malig Tumor - Mother (MHEA26B),Cancer/Malig Tumor - Mother (MHEA26B),,,choices,,noyes01,,NA,NA,NA,NA
741,Family History,mhea26c,Cancer/Malig Tumor - Father (MHEA26C),Cancer/Malig Tumor - Father (MHEA26C),,,choices,,noyes01,,NA,NA,NA,NA
742,Family History,mhea26d,Cancer/Malig Tumor - Sibling (MHEA26D),Cancer/Malig Tumor - Sibling (MHEA26D),,,choices,,noyes01,,NA,NA,NA,NA
743,Medical History/Reproductive  Health,mhea27,Age Menses Began (MHEA27),Age Menses Began (MHEA27),,,integer,years,,,NA,NA,NA,NA
744,Medical History/Reproductive  Health,mhea28,Currently Have Menstrual Periods (MHEA28),Currently Have Menstrual Periods (MHEA28),,,choices,,noyesdk,,NA,NA,NA,NA
745,Medical History/Reproductive  Health,mhea29,Ever Had Hysterectomy (MHEA29),Ever Had Hysterectomy (MHEA29),,,choices,,ever_hysterectomy,,NA,NA,NA,NA
746,Family History,mhea2a,High Blood Cholesterol - Mother (MHEA2A),High Blood Cholesterol - Mother (MHEA2A),,,choices,,noyes01,,NA,NA,NA,NA
747,Family History,mhea2b,High Blood Cholesterol - Father (MHEA2B),High Blood Cholesterol - Father (MHEA2B),,,choices,,noyes01,,NA,NA,NA,NA
748,Family History,mhea2c,High Blood Cholesterol - Sibling (MHEA2C),High Blood Cholesterol - Sibling (MHEA2C),,,choices,,noyes01,,NA,NA,NA,NA
749,Medical History,mhea3,Angina - Self (MHEA3),Angina - Self (MHEA3),,,choices,,noyes01,,NA,NA,NA,NA
750,Medical History/Reproductive  Health,mhea30,Age at hysterectomy Surgery (MHEA30),Age at hysterectomy Surgery (MHEA30),,,integer,years,,,NA,NA,NA,NA
751,Medical History/Reproductive  Health,mhea31,Menopause Reached (MHEA31),Menopause Reached (MHEA31),,,choices,,noyesdk,,NA,NA,NA,NA
752,Medical History/Reproductive  Health,mhea32,Age Menopause Reached (MHEA32),Age Menopause Reached (MHEA32),,,integer,years,,,NA,NA,NA,NA
753,Medical History/Reproductive  Health,mhea33,Currently Pregnant (MHEA33),Currently Pregnant (MHEA33),,,choices,,noyes01,,NA,NA,NA,NA
754,Medical History/Reproductive  Health,mhea34,Ever been pregnant (MHEA34),Ever been pregnant (MHEA34),,,choices,,noyes01,,NA,NA,NA,NA
755,Medical History/Reproductive  Health,mhea35,Number of times pregnant (MHEA35),Number of times pregnant (MHEA35),,,integer,years,,,NA,NA,NA,NA
756,Medical History/Reproductive  Health,mhea36,Number of Live Births (MHEA36),Number of Live Births (MHEA36),,,integer,years,,,NA,NA,NA,NA
757,Medical History/Reproductive  Health,mhea37,Birth Control Medication (MHEA37),Birth Control Medication (MHEA37),,,choices,,noyes01,,NA,NA,NA,NA
758,Medical History/Reproductive  Health,mhea38,Fem Hor Med (NOT BC) (MHEA38),Fem Hor Med (NOT BC) (MHEA38),,,choices,,noyesdk,,NA,NA,NA,NA
759,Medical History/Reproductive  Health,mhea39,Fem horm taken to supl nat horm (MHEA39),Fem horm taken to supl nat horm (MHEA39),,,choices,,noyes01,,NA,NA,NA,NA
760,Medical History,mhea3a,Angina - Age (MHEA3A),Angina - Age (MHEA3A),,,integer,years,,,NA,NA,NA,NA
761,Family History,mhea3b,Angina - Mother (MHEA3B),Angina - Mother (MHEA3B),,,choices,,noyes01,,NA,NA,NA,NA
762,Family History,mhea3c,Angina - Father (MHEA3C),Angina - Father (MHEA3C),,,choices,,noyes01,,NA,NA,NA,NA
763,Family History,mhea3d,Angina - Sibling (MHEA3D),Angina - Sibling (MHEA3D),,,choices,,noyes01,,NA,NA,NA,NA
764,Medical History,mhea4,Heart Attack - Self (MHEA4),Heart Attack - Self (MHEA4),,,choices,,noyes01,,NA,NA,NA,NA
765,Medical History,mhea4a,Heart Attack - Age Self (MHEA4A),Heart Attack - Age Self (MHEA4A),,,integer,years,,,NA,NA,NA,NA
766,Family History,mhea4b1,Heart Attack - Mother (MHEA4B1),Heart Attack - Mother (MHEA4B1),,,choices,,noyes01,,NA,NA,NA,NA
767,Family History,mhea4b2,Heart Attack - Age Mother (MHEA4B2),Heart Attack - Age Mother (MHEA4B2),,,integer,years,,,NA,NA,NA,NA
768,Family History,mhea4c1,Heart Attack - Father (MHEA4C1),Heart Attack - Father (MHEA4C1),,,choices,,noyes01,,NA,NA,NA,NA
769,Family History,mhea4c2,Heart Attack - Age Father (MHEA4C2),Heart Attack - Age Father (MHEA4C2),,,integer,years,,,NA,NA,NA,NA
770,Family History,mhea4d1,Heart Attack - Sibling (MHEA4D1),Heart Attack - Sibling (MHEA4D1),,,choices,,noyes01,,NA,NA,NA,NA
771,Family History,mhea4d2,Heart Attack - Age Sibling (MHEA4D2),Heart Attack - Age Sibling (MHEA4D2),,,integer,years,,,NA,NA,NA,NA
772,Medical History,mhea5,Heart Failure - Self (MHEA5),Heart Failure - Self (MHEA5),,,choices,,noyes01,,NA,NA,NA,NA
773,Family History,mhea5a,Heart Failure - Mother (MHEA5A),Heart Failure - Mother (MHEA5A),,,choices,,noyes01,,NA,NA,NA,NA
774,Family History,mhea5b,Heart Failure - Father (MHEA5B),Heart Failure - Father (MHEA5B),,,choices,,noyes01,,NA,NA,NA,NA
775,Family History,mhea5c,Heart Failure - Sibling (MHEA5C),Heart Failure - Sibling (MHEA5C),,,choices,,noyes01,,NA,NA,NA,NA
776,Medical History,mhea6,Rheu HD - Self (MHEA6),Rheu HD - Self (MHEA6),,,choices,,noyes01,,NA,NA,NA,NA
777,Family History,mhea6a,Rheu HD - Mother (MHEA6A),Rheu HD - Mother (MHEA6A),,,choices,,noyes01,,NA,NA,NA,NA
778,Family History,mhea6b,Rheu HD - Father (MHEA6B),Rheu HD - Father (MHEA6B),,,choices,,noyes01,,NA,NA,NA,NA
779,Family History,mhea6c,Rheumatic HD - Sibling (MHEA6C),Rheumatic HD - Sibling (MHEA6C),,,choices,,noyes01,,NA,NA,NA,NA
780,Medical History,mhea7,Atrial Fibrilation - Self (MHEA7),Atrial Fibrilation - Self (MHEA7),,,choices,,noyes01,,NA,NA,NA,NA
781,Medical History,mhea8,Other heart problem - Self (MHEA8),Other heart problem - Self (MHEA8),,,choices,,noyes01,,NA,NA,NA,NA
782,Medical History,mhea9,Angioplasty/bypass - Self (MHEA9),Angioplasty/bypass - Self (MHEA9),,,choices,,noyes01,,NA,NA,NA,NA
783,Family History,mhea9a,Angiop/bypass - Mother (MHEA9A),Angiop/bypass - Mother (MHEA9A),,,choices,,noyes01,,NA,NA,NA,NA
784,Family History,mhea9b,Angiop/bypass - Father (MHEA9B),Angiop/bypass - Father (MHEA9B),,,choices,,noyes01,,NA,NA,NA,NA
785,Family History,mhea9c,Angiop/bypass - Sibling (MHEA9C),Angiop/bypass - Sibling (MHEA9C),,,choices,,noyes01,,NA,NA,NA,NA
562,Medical History,mi_ecg,MI defined by ECG results,MI defined by ECG results,This variable checks some ECG measures to detect possible old MIs.,This variable checks some ECG measures to detect possible old MIs.,choices,,noyes01,,NA,NA,NA,NA
570,Medical History,perio_cdc_aap,Periodontitis Severity using CDC/AAP Grades,Periodontitis Severity using CDC/AAP Grades,"The HCHS/SOL used a comprehensive full mouth examination protocol examining six sites per tooth in up to 28 teeth yielding up to 168 sites per person. For the purpose of this study, four outcome measures were reported based on the Centers for Disease Control and Prevention and the American Academy of Periodontology (CDC/AAP) case definition of periodontitis at four severity thresholds. These classifications are designed for population-based surveillance of periodontal disease and are based on measures of clinical periodontal clinical attachment level (CAL) and probing pocket depth (PD).","The HCHS/SOL used a comprehensive full mouth examination protocol examining six sites per tooth in up to 28 teeth yielding up to 168 sites per person. For the purpose of this study, four outcome measures were reported based on the Centers for Disease Control and Prevention and the American Academy of Periodontology (CDC/AAP) case definition of periodontitis at four severity thresholds. These classifications are designed for population-based surveillance of periodontal disease and are based on measures of clinical periodontal clinical attachment level (CAL) and probing pocket depth (PD).",choices,,perio_grade,,NA,NA,NA,NA
571,Medical History,perio_extent,Percentage Interproximal Sites Positive for Periodontitis,Percentage Interproximal Sites Positive for Periodontitis,This is an additional method of describing the extent of disease in the mouth.,This is an additional method of describing the extent of disease in the mouth.,numeric,percent,,,NA,NA,NA,NA
